EV Charger Registration Code,Name,No. of Charging Outlets,Connector ID,Type of Connector,Rated Output Power (kW),Postal Code,Block/House No,Street Name,Building Name,Floor No,Lot No,Is the charger publicly accessible?,Longitude,Latitude
R115035A,AIRETEC PTE. LTD.,1,R115035A-001,Type 2,22,68906,138,ROBINSON ROAD,OXLEY TOWER,B3,7,Yes,103.848419,1.278706085
R115036E,AIRETEC PTE. LTD.,1,R115036E-001,Type 2,22,159971,321,ALEXANDRA ROAD,ALEXANDRA CENTRAL,L4,44,Yes,103.8052834,1.287283209
R115037K,AIRETEC PTE. LTD.,1,R115037K-001,Type 2,22,68906,138,ROBINSON ROAD,OXLEY TOWER,B3,6,Yes,103.848419,1.278706085
R115038B,AIRETEC PTE. LTD.,1,R115038B-001,Type 2,22,159971,321,ALEXANDRA ROAD,ALEXANDRA CENTRAL,L4,45,Yes,103.8052834,1.287283209
R115043Z,AIRETEC PTE. LTD.,1,R115043Z-001,Type 2,22,737853,11,WOODLANDS CLOSE,,L6,30,Yes,103.8029106,1.434940119
R115044C,AIRETEC PTE. LTD.,1,R115044C-001,Type 2,22,737853,11,WOODLANDS CLOSE,WOODLANDS 11,L6,32,Yes,103.8029106,1.434940119
R115045G,AIRETEC PTE. LTD.,1,R115045G-001,Type 2,22,737853,11,WOODLANDS CLOSE,WOODLANDS 11,L6,31,Yes,103.8029106,1.434940119
R116332C,AIRETEC PTE. LTD.,1,R116332C-001,Type 2,22,669645,303,GOMBAK DRIVE,MINDEF BUILDING,L1,183,Yes,103.7586401,1.37045672
R116337A,AIRETEC PTE. LTD.,1,R116337A-001,Type 2,22,669645,303,GOMBAK DRIVE,MINDEF BUILDING,L1,182,Yes,103.7586401,1.37045672
R116602R,AIRETEC PTE. LTD.,1,R116602R-001,CCS2,30,669645,303,GOMBAK DRIVE,MINDEF BUILDING,L1,186,Yes,103.7586401,1.37045672
R116622A,AIRETEC PTE. LTD.,1,R116622A-001,CCS2,30,669645,303,GOMBAK DRIVE,MINDEF BUILDING,L1,187,Yes,103.7586525,1.370443021
R107638A,BUSWAYS PTE. LTD.,1,R107638A-001,Type 2,22,138602,1,CREATE WAY,UNIVERSITY TOWN (CREATE),L1,32,Yes,103.7740329,1.303996549
R107639E,BUSWAYS PTE. LTD.,1,R107639E-001,Type 2,22,138602,1,CREATE WAY,UNIVERSITY TOWN (CREATE),L1,33,Yes,103.7740329,1.303996549
R115347H,BUSWAYS PTE. LTD.,1,R115347H-001,Type 2,22,369683,25,HARPER ROAD,HARPER POINT,L5,9,Yes,103.88701,1.33452
R115348A,BUSWAYS PTE. LTD.,1,R115348A-001,Type 2,22,369683,25,HARPER ROAD,HARPER POINT,L5,10,Yes,103.88701,1.33452
R102482B,CHARGE+ PTE. LTD.,2,R102482B-001,Type 2,7.4,120507,507,WEST COAST DRIVE,WEST COAST VISTA,L1,1 AND 2,Yes,103.7614211,1.311458097
R102482B,CHARGE+ PTE. LTD.,2,R102482B-002,Type 2,7.4,120507,507,WEST COAST DRIVE,WEST COAST VISTA,L1,1 AND 2,Yes,103.7614211,1.311458097
R102483F,CHARGE+ PTE. LTD.,2,R102483F-001,Type 2,7.4,120507,507,WEST COAST DRIVE,WEST COAST VISTA,L1,3 AND 4,Yes,103.7614211,1.311458097
R102483F,CHARGE+ PTE. LTD.,2,R102483F-002,Type 2,7.4,120507,507,WEST COAST DRIVE,WEST COAST VISTA,L1,3 AND 4,Yes,103.7614211,1.311458097
R102484Z,CHARGE+ PTE. LTD.,2,R102484Z-001,Type 2,7.4,120507,507,WEST COAST DRIVE,WEST COAST VISTA,L1,5 AND 6,Yes,103.7614211,1.311458097
R102484Z,CHARGE+ PTE. LTD.,2,R102484Z-002,Type 2,7.4,120507,507,WEST COAST DRIVE,WEST COAST VISTA,L1,5 AND 6,Yes,103.7614211,1.311458097
R102548G,CHARGE+ PTE. LTD.,2,R102548G-001,Type 2,7.4,321022,22,SAINT GEORGE'S ROAD,SAINT GEORGE'S EAST GARDENS,L1,69 AND 70,Yes,103.8621767,1.325147
R102548G,CHARGE+ PTE. LTD.,2,R102548G-002,Type 2,7.4,321022,22,SAINT GEORGE'S ROAD,SAINT GEORGE'S EAST GARDENS,L1,69 AND 70,Yes,103.8621767,1.325147
R102550C,CHARGE+ PTE. LTD.,2,R102550C-001,Type 2,7.4,321022,22,SAINT GEORGE'S ROAD,SAINT GEORGE'S EAST GARDENS,L1,67 AND 68,Yes,103.8621767,1.325147
R102550C,CHARGE+ PTE. LTD.,2,R102550C-002,Type 2,7.4,321022,22,SAINT GEORGE'S ROAD,SAINT GEORGE'S EAST GARDENS,L1,67 AND 68,Yes,103.8621767,1.325147
R102551G,CHARGE+ PTE. LTD.,2,R102551G-001,Type 2,7.4,321022,22,SAINT GEORGE'S ROAD,SAINT GEORGE'S EAST GARDENS,L1,65 AND 66,Yes,103.8621767,1.325147
R102551G,CHARGE+ PTE. LTD.,2,R102551G-002,Type 2,7.4,321022,22,SAINT GEORGE'S ROAD,SAINT GEORGE'S EAST GARDENS,L1,65 AND 66,Yes,103.8621767,1.325147
R106226A,CHARGE+ PTE. LTD.,2,R106226A-001,Type 2,7.4,760315,315,YISHUN AVENUE 9,YISHUN GREENWALK,L4B,264,Yes,103.8420226,1.432668821
R106226A,CHARGE+ PTE. LTD.,2,R106226A-002,Type 2,7.4,760315,315,YISHUN AVENUE 9,YISHUN GREENWALK,L4B,264,Yes,103.8420226,1.432668821
R106230E,CHARGE+ PTE. LTD.,2,R106230E-001,Type 2,7.4,760315,315,YISHUN AVENUE 9,YISHUN GREENWALK,L4B,265 & 266,Yes,103.8420226,1.432668821
R106230E,CHARGE+ PTE. LTD.,2,R106230E-002,Type 2,7.4,760315,315,YISHUN AVENUE 9,YISHUN GREENWALK,L4B,265 & 266,Yes,103.8420226,1.432668821
R106263B,CHARGE+ PTE. LTD.,2,R106263B-001,Type 2,7.4,820292,292,PUNGGOL CENTRAL,MULTI STOREY CAR PARK,L4A,540 & 539,Yes,103.9050495,1.402396878
R106263B,CHARGE+ PTE. LTD.,2,R106263B-002,Type 2,7.4,820292,292,PUNGGOL CENTRAL,MULTI STOREY CAR PARK,L4A,540 & 539,Yes,103.9050495,1.402396878
R106267G,CHARGE+ PTE. LTD.,2,R106267G-001,Type 2,7.4,820292,292,PUNGGOL CENTRAL,MULTI STOREY CAR PARK,L4A,542 & 541,Yes,103.9050495,1.402396878
